Fornecedor,QTD,Descrição,Marca,Unit,Subtotal
Wanderley,1,CLP DVP 8DI 6DO Transistor,Delta,900,900
Wanderley,1,IHM ,Samkoon,900,900
Wanderley,1,Expansão 16DI,Delta,600,600
Wanderley,1,Expanção 8DI/8DO Transistor,Delta,600,600
Wanderley,1,Cabo de programação,-,160,160
Mercado livre,2,Botão azul 1NA compacto iluminado 24Vcc,Schmersal,45,90
Rittal,1,Painel Rittal compacto com fundo galvanizado 1000x600x250,Rittal,1780,1780
Keyence,2,Chave de segurança com cabo M12 12P 5 e 10m,Keyence,1750,3500
View Tech,1,Chave geral 63A,WEG,280,280
View Tech,1,Disjuntor bipolar 20A,WEG,42,42
View Tech,1,DR bipolar 40A/30mA,WEG,180,180
View Tech,1,Tomada 2P+T vertical trilho DIN 20A,WEG,55,55
View Tech,1,Disjuntor bipolar 2A,WEG,55,55
View Tech,2,Disjuntor bipolar 4A,WEG,70,140
View Tech,2,Disjuntor unipolar 6A,WEG,40,80
View Tech,1,Disjuntor tripolar 2A,WEG,85,85
Cetti,1,Fonte 24V 5A,WEG,500,500
View Tech,2,Relé de emergência CPD,WEG,530,1060
View Tech,1,Rele dedetecção de movimento zero,WEG,1250,1250
View Tech,4,Relé de interface/acoplador 24Vcc 6A 1 reversível,Finder,70,280
View Tech,4,Relé de interface 24Vcc 8A 2 contato reversíveis,Finder,70,280
View Tech,1,"Inversor de frequencia 7,5CV 24A 220V trifásico",WEG,3900,3900
View Tech,5,Mini contator 24Vcc 12a tripolar + 1NA,WEG,250,1250
View Tech,4,Bloco de Contato Auxiliar Frontal 1NF 1NA ,WEG ,0,0
Cetti,5,Bloco supressor 24Vcc para contator WEG CWC0,WEG,0,0
View Tech,2,Contator motor 220Vac 32A,WEG,250,500
View Tech,1,Disjuntor motor 10..16A,WEG,380,380
View Tech,2,"Disjuntor motor 2,5..4A",WEG,250,500
Cetti,3,Botão de Emergência com Retenção 1NF,Schneider,27,80
Cetti,3,Etiqueta amarela para botão de emergência,-,0,0
Cetti,3,Bloco de contato NF para botão de emergência,Schneider,0,0
Cetti,1,Botão azul 1NA iluminado 24Vcc,Schneider,0,0
Cetti,1,Botão verde 1NA iluminado 24Vcc,Schneider,0,0
Cetti,2,Botão verde 1NA 24Vcc,Schneider,45,90
Cetti,7,Botão vermelho 1NF ,Schneider,13,90
Cetti,4,Chave seletora 3 posições sem retenção 2NA,Schneider,45,180
Cetti,2,Botão amarelo 1NA,Schneider,52,104
Cetti,1,Sinalizador sonoro 22mm 24Vcc,Autonics,-,-
View Tech,20,Placa de identificação para botão 22mm PART-A,Sibratec,0,0
